@relation POWER

@attribute dayTime {morning,afternoon,evening,night}
@attribute home {home,other}
@attribute movingstatus {yes,no}
@attribute screenStatus {on,off}
@attribute batteryCapacity {critical,low,medium,high}
@attribute wifiStatus {on,off}
@attribute cellularNetworkStatus {on,off}
@attribute wifiFlip {on,off}

@data
morning,home,yes,on,critical,on,on,on
morning,home,yes,on,critical,on,off,on
morning,home,yes,on,critical,off,on,on
morning,home,yes,on,critical,off,off,off
morning,home,no,off,critical,on,off,off
morning,home,no,off,critical,off,off,off
morning,home,no,off,critical,off,on,off
morning,home,no,off,critical,on,on,off
morning,home,yes,off,critical,on,off,off
morning,home,yes,off,critical,off,off,off
morning,home,yes,off,critical,off,on,off
morning,home,yes,off,critical,on,on,off
morning,home,no,on,critical,on,off,on
morning,home,no,on,critical,off,off,off
morning,home,no,on,critical,off,on,off
morning,home,no,on,critical,on,on,on
morning,other,yes,on,critical,on,on,on
morning,other,yes,on,critical,on,off,on
morning,other,yes,on,critical,off,on,off
morning,other,yes,on,critical,off,off,off
morning,other,no,off,critical,on,off,off
morning,other,no,off,critical,off,off,off
morning,other,no,off,critical,off,on,off
morning,other,no,off,critical,on,on,off
morning,other,yes,off,critical,on,off,off
morning,other,yes,off,critical,off,off,off
morning,other,yes,off,critical,off,on,off
morning,other,yes,off,critical,on,on,off
morning,other,no,on,critical,on,off,on
morning,other,no,on,critical,off,off,off
morning,other,no,on,critical,off,on,off
morning,other,no,on,critical,on,on,on
afternoon,home,yes,on,critical,on,on,on
afternoon,home,yes,on,critical,on,off,on
afternoon,home,yes,on,critical,off,on,on
afternoon,home,yes,on,critical,off,off,off
afternoon,home,no,off,critical,on,off,off
afternoon,home,no,off,critical,off,off,off
afternoon,home,no,off,critical,off,on,off
afternoon,home,no,off,critical,on,on,off
afternoon,home,yes,off,critical,on,off,off
afternoon,home,yes,off,critical,off,off,off
afternoon,home,yes,off,critical,off,on,off
afternoon,home,yes,off,critical,on,on,off
afternoon,home,no,on,critical,on,off,on
afternoon,home,no,on,critical,off,off,off
afternoon,home,no,on,critical,off,on,off
afternoon,home,no,on,critical,on,on,on
afternoon,other,yes,on,critical,on,on,on
afternoon,other,yes,on,critical,on,off,on
afternoon,other,yes,on,critical,off,on,off
afternoon,other,yes,on,critical,off,off,off
afternoon,other,no,off,critical,on,off,off
afternoon,other,no,off,critical,off,off,off
afternoon,other,no,off,critical,off,on,off
afternoon,other,no,off,critical,on,on,off
afternoon,other,yes,off,critical,on,off,off
afternoon,other,yes,off,critical,off,off,off
afternoon,other,yes,off,critical,off,on,off
afternoon,other,yes,off,critical,on,on,off
afternoon,other,no,on,critical,on,off,on
afternoon,other,no,on,critical,off,off,off
afternoon,other,no,on,critical,off,on,off
afternoon,other,no,on,critical,on,on,on
evening,home,yes,on,critical,on,on,on
evening,home,yes,on,critical,on,off,on
evening,home,yes,on,critical,off,on,on
